행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
신데렐라,강진아트홀 대공연장,뮤지컬 공연,2026-06-13,2026-06-13,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3350,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
무죄추정,강진아트홀 대공연장,연극공연,2026-05-14,2026-05-14,19:00,20:30,유료,전라남도 강진군청,전라남도 강진군청,061-430-3349,,692,1천원,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
피노키오의 모험,강진아트홀 대공연장,뮤지컬 공연,2026-05-09,2026-05-09,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3348,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
어린이 캣츠,강진아트홀 대공연장,뮤지컬 공연,2026-04-11,2026-04-11,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3347,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
오즈의 마법사,강진아트홀 대공연장,뮤지컬 공연,2026-03-14,2026-03-14,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3346,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
헨젤과그레텔,강진아트홀 대공연장,뮤지컬 공연,2026-02-14,2026-02-14,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
겨울왕국,강진아트홀 대공연장,뮤지컬 공연,2026-01-10,2026-01-10,15:00,16:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,1천원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
하모니 오브 라이트,강진아트홀 대공연장,기술융복합,2025-12-20,2025-12-20,15:00,16:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
뮤지컬 오브 더 나이트,강진아트홀 대공연장,음악공연,2025-12-12,2025-12-12,19:00,21:00,무료,전라남도 강진군청+(재)세종문화회관,서울특별시,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
삼거리골목식당,강진아트홀 대공연장,연극공연,2025-11-20,2025-11-20,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
우리아빠가 최고야,강진아트홀 대공연장,뮤지컬 공연,2025-11-15,2025-11-15,15:00,16:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
그대와 영원히,강진아트홀 대공연장,연극공연,2025-10-23,2025-10-23,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
피터팬,강진아트홀 대공연장,뮤지컬 공연,2025-10-11,2025-10-11,15:00,16:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,692,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
스프레이,강진아트홀 대공연장,연극공연,2025-09-20,2025-09-20,14:00,21:00,유료,전라남도 강진군청,문화체육관광부+(재)예술경영지원센터,061-430-3345,,692,1만원,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
인어공주,강진아트홀 대공연장,뮤지컬 공연,2025-08-09,2025-08-09,15:00,18:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
백설공주와 일곱난장이,강진아트홀 대공연장,뮤지컬 공연,2025-07-12,2025-07-12,15:00,18:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3345,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
딴소리판,강진아트홀 대공연장,전통공연,2025-06-21,2025-06-21,15:00,18:00,유료,전라남도 강진군청,문화체육관광부+(재)예술경영지원센터,061-430-3345,,716,1만원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
신데렐라의 모래이야기,강진아트홀 대공연장,뮤지컬 공연,2025-06-14,2025-06-14,15:00,18:00,유료,전라남도 강진군청,문화체육관광부+(재)예술경영지원센터,061-430-3345,,716,1만원,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
그녀와의 투쟁,강진아트홀 대공연장,연극공연,2026-06-18,2026-06-18,19:00,20:30,유료,전라남도 강진군청,전라남도 강진군청,061-430-3351,,692,1천원,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
송년 음악회,강진아트홀 대공연장,음악 공연,2021-11-29,2021-11-29,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
리듬 오브 코리아,강진아트홀 대공연장,다원 공연,2021-11-26,2021-11-26,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
아띠 인형극,강진아트홀 대공연장,연극 공연,2021-11-24,2021-11-24,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
반짝반짝 페리오,강진아트홀 대공연장,뮤지컬 공연,2021-11-16,2021-11-16,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
남도가무악 희망잇다,강진아트홀 대공연장,국악 공연,2021-11-13,2021-11-13,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 인질,강진아트홀 대공연장,영화상영,2021-11-09,2021-11-09,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,19세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 싱크홀,강진아트홀 대공연장,영화상영,2021-10-28,2021-10-28,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
디톡스 콘서트,강진아트홀 대공연장,음악 공연,2021-10-22,2021-10-22,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 모가디슈,강진아트홀 대공연장,영화상영,2021-10-14,2021-10-14,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
클래식 정원,강진아트홀 대공연장,음악 공연,2021-09-29,2021-09-29,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
국악뮤지컬 황후 심청,강진아트홀 대공연장,뮤지컬 공연,2021-09-18,2021-09-18,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 발신제한,강진아트홀 대공연장,영화상영,2021-09-14,2021-09-14,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
별이 빛나는 밤에,강진아트홀 대공연장,음악 공연,2021-09-10,2021-09-10,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
존윌리엄스 시네콘서트,강진아트홀 대공연장,음악 공연,2021-08-24,2021-08-24,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
서울시무용단 공연,강진아트홀 대공연장,무용 공연,2021-07-09,2021-07-09,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
퓨전 심청전 공연,강진아트홀 대공연장,뮤지컬 공연,2021-07-01,2021-07-01,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
가족뮤지컬 아름다운 선물 공연,강진아트홀 대공연장,뮤지컬 공연,2021-06-29,2021-06-29,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 내일의 기억 상영,강진아트홀 대공연장,영화상영,2021-06-15,2021-06-15,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,18세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
코리안심포니오케스트라 공연,강진아트홀 대공연장,음악 공연,2021-05-27,2021-05-27,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
마당극 언젠가 봄날에 공연,강진아트홀 야외무대,마당극 공연,2021-05-25,2021-05-25,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 자산어보 상영,강진아트홀 대공연장,영화상영,2021-05-18,2021-05-18,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 새해전야 상영,강진아트홀 대공연장,영화상영,2021-04-27,2021-04-27,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 미션파서블 상영,강진아트홀 대공연장,영화상영,2021-04-08,2021-04-08,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
광주오페라단 공연,강진아트홀 대공연장,음악 공연,2021-04-01,2021-04-01,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
신춘음악회,강진아트홀 대공연장,음악 공연,2021-03-30,2021-03-30,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 담보 상영,강진아트홀 대공연장,영화상영,2021-03-16,2021-03-16,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
트롯콘서트,강진아트홀 대공연장,음악 공연,2020-11-19,2020-11-19,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
퓨전국악 콘서트,강진아트홀 대공연장,국악 공연,2020-11-17,2020-11-17,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 결백 상영,강진아트홀 대공연장,영화상영,2020-11-05,2020-11-05,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 반도 상영,강진아트홀 대공연장,영화상영,2020-10-22,2020-10-22,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
굿보러 가자 공연,강진아트홀 대공연장,국악 공연,2020-09-25,2020-09-25,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
태혜신무용단 공연,강진아트홀 대공연장,무용 공연,2020-08-20,2020-08-20,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
뮤지컬 이상한 나라의 앨리스,강진아트홀 대공연장,뮤지컬 공연,2020-08-11,2020-08-11,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 살이있다 상영,강진아트홀 대공연장,영화상영,2020-08-05,2020-08-05,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 정직한 후보 상영,강진아트홀 대공연장,영화상영,2020-06-26,2020-06-26,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 남산의 부장들 상영,강진아트홀 대공연장,영화상영,2020-06-11,2020-06-11,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 히트맨 상영,강진아트홀 대공연장,영화상영,2020-05-28,2020-05-28,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 백두산 상영,강진아트홀 대공연장,영화상영,2020-05-14,2020-05-14,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 천문 상영,강진아트홀 대공연장,영화상영,2020-01-31,2020-01-31,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,12세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 신의 한수 2,강진아트홀 대공연장,영화상영,2020-01-14,2020-01-14,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,15세 이상 관람가,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
뮤지컬 어린왕자,강진아트홀 대공연장,연극,2019-12-23,2019-12-23,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
최신영화 82년생 김지영,강진아트홀 대공연장,영화상영,2019-12-18,2019-12-18,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
코믹연극 그놈은 예뻤다.,강진아트홀 대공연장,연극,2019-12-17,2019-12-17,19:00,21:00,유료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,일반3천원+청소년2천원,제한없음,65세이상 무료,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
아기돼지 삼형제,강진아트홀 대공연장,뮤지컬 공연,2021-12-09,2021-12-09,19:00,21:00,무료,전라남도 강진군청,전라남도 강진군청,061-430-3973,,716,,제한없음,,음식물 반입금지,https://www.gangjin.go.kr/arthall/,,Y,전라남도 강진군 강진읍 영랑로1길 9,,34.63817512,126.7704992,2026-06-24,5865000,전남광주통합특별시 강진군
2026년 지역대표 예술단체 지원사업(Classic -KNOCK),한누리전당 소공연장,클래식,2026-09-02,2026-09-02,19:00,20:10,유료,예술담은나라,전북특별자치도 장수군,063-350-2318,문화체육관광부,278,초중고 학생 1000원 / 65세 이상 어르신 1000원  / 일반 10000원,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 지역대표 예술단체 지원사업(슬림 오페라 마술피리),한누리전당 소공연장,음악 무용극,2026-06-17,2026-06-17,19:00,20:20,유료,예술담은나라,전북특별자치도 장수군,063-350-2318,문화체육관광부,278,초중고 학생 1000원 / 65세 이상 어르신 1000원  / 일반 10000원,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 지역대표 예술단체 지원사업(판소리 클래식 심청전),한누리전당 소공연장,슬림 오페라,2026-05-27,2026-05-27,19:00,20:20,유료,예술담은나라,전북특별자치도 장수군,063-350-2318,문화체육관광부,278,초중고 학생 1000원 / 65세 이상 어르신 1000원  / 일반 10000원,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 지역대표 예술단체 지원사업(노래하는 장수하늘소),한누리전당 소공연장,뮤지컬,2026-04-21,2026-04-21,19:00,20:40,유료,예술담은나라,전북특별자치도 장수군,063-350-2318,문화체육관광부,278,초중고 학생 1000원 / 65세 이상 어르신 1000원  / 일반 10000원,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 공연예술 지역유통 지원사업 공연(3차-빨간기타),한누리전당 소공연장,락 뮤지컬,2026-06-02,2026-06-02,14:00,15:30,유료,전북특별자치도 장수군+문화체육관광부,(재)예술경영지원센터,063-350-2318,,278,10000,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 공연예술 지역유통 지원사업 공연(2차-타악기가 학교를 지배하다),한누리전당 소공연장,난타공연,2026-04-30,2026-04-30,10:00,11:20,유료,전북특별자치도 장수군+문화체육관광부,(재)예술경영지원센터,063-350-2318,,278,10000,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 공연예술 지역유통 지원사업 공연(1차-똥벼락),한누리전당 소공연장,마당극,2026-04-24,2026-04-24,10:30,11:30,유료,전북특별자치도 장수군+문화체육관광부,(재)예술경영지원센터,063-350-2318,,278,10000,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
2026년 지역대표 예술단체 지원사업(from 논개),한누리전당 의암공원 야외무대,뮤지컬,2026-09-30,2026-09-30,15:00,20:40,유료,예술담은나라,전북특별자치도 장수군,063-350-2318,문화체육관광부,278,초중고 학생 1000원 / 65세 이상 어르신 1000원  / 일반 10000원,전체연령,장수군민 90할인,,,,Y,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.6411154,127.5181094,2026-06-02,4751000,전북특별자치도 장수군
